#,SuperCategory,SubCategory,Level,Lexical Range,guideword,Can-do statement,Example
659,NOUNS,noun phrases,B1,N/A,FORM/USE: 'SUCH (A)' + ADJECTIVE + NOUN,"Can form noun phrases with 'such a' + adjective + singular noun and 'such' + adjective + plural noun, to give emphasis. ","It was so terrible because I've never been in such a terrible situation. (Russia; B1 THRESHOLD; 2000; Russian; Pass)

So it was really funny to hear from her after such a long time. (Germany; B1 THRESHOLD; 2004; German; Pass)

Thank you for giving me such a fantastic birthday present. (China; B1 THRESHOLD; 2003; Chinese; Pass)

Also, we both liked to read and that was why we were such good friends. (Taiwan; B1 THRESHOLD; 2009; Chinese; Pass)

I had never worn such high heels before. (Albania; B1 THRESHOLD; 2010; Albanian; Pass)

"
660,NOUNS,noun phrases,B1,N/A,FORM: NOUN + PREPOSITIONAL PHRASES,Can form complex noun phrases by using a prepositional phrase after the main noun in a noun phrase.,"It was a beautiful red dress with blue flowers on the back. (Andorra; B1 THRESHOLD; 2010; French; Pass)

Yesterday a TV company came to our school to make a film about Bavarian pupils. (Germany; B1 THRESHOLD; 2008; German; Pass)

I don't spend too much time in front of the television, I just watch it twice a week and on Sundays morning. (Brazil; B1 THRESHOLD; 2007; Portuguese; Pass)

I received your letter and you asked me about the future of my town. (Brazil; B1 THRESHOLD; 2007; Portuguese; Pass)

I have to travel to Montevideo to see my doctor because I'm having some problems with my health. (Uruguay; B1 THRESHOLD; 2009; Spanish - Latin American; Pass)
"
661,NOUNS,noun phrases,B1,N/A,FORM/USE: NOUN PHRASES WITH SUPERLATIVES,"Can use a clause with a present perfect or past perfect as a superlative noun phrase complement, to talk about uniqueness. ","It has the best promenade I have seen. (B1 THRESHOLD; 2003; Pass)

The best book I've read is ""The Da Vinci code"". (Italy; B1 THRESHOLD; 2005; Italian; Pass)

It was the best decision you had ever made. (Chile; B1 THRESHOLD; 2007; Spanish - Latin American; Pass)

We enjoy going shopping, walking and talking hour after hour - She's the funniest person I've ever known! (B1 THRESHOLD; 2004; ; Pass)"
662,NOUNS,noun phrases,B1,N/A,FORM/USE: POSSESSIVE '‘S' WITHOUT NOUN,Can omit the noun after possessive '’s' to talk about a place which is familiar to the speaker and listener.,"Last week I left my clothes at the dry cleaner's and I can't collect them. (B1 THRESHOLD; 2009; Polish; Pass)

I have to go to the dentist’s. (Italy; B1 THRESHOLD; 2008; Italian; Pass)

I'll be picking you up at eight o'clock near the McDonald's, OK? (Brazil; B1 THRESHOLD; 2004; Portuguese; Pass)

I'm going to be absent from the English class next week, because I am going to the doctor's. (Argentina; B1 THRESHOLD; 2009; Spanish - Latin American; Pass)

It's next to your grandma's. (Brazil; B1 THRESHOLD; 2007; Portuguese; Pass)"
663,NOUNS,noun phrases,B1,N/A,FORM: NOUN + 'OF' + POSSESSIVE PRONOUN,Can form noun phrases with noun + 'of' + possessive pronouns.,"… we always did everything together and couldn't stop laughing as she told me many funny stories and I told her lots of silly mistakes of mine. (Vietnam; B1 THRESHOLD; 2009; Vietnamese; Pass)

A colleague of mine has told me about a Swiss hotel in London. (Switzerland; B1 THRESHOLD; 2004; Swiss German; Fail)

I was looking for something special to do for my last week off and some schoolmates of mine invited me to join the cycling holiday. (Italy; B1 THRESHOLD; 2003; Italian; Pass)

I'm a fan of his, he is my favorite singer. (Turkey; B1 THRESHOLD; 2009; Turkish; Pass)

I want this dream of mine to come true. (India; B1 THRESHOLD; 2010; Panjabi; Pass)"
664,NOUNS,noun phrases,B1,N/A,FORM: FRIEND + 'OF' + POSSESSIVE DETERMINER + NOUN,Can form noun phrases with 'a friend of' or 'friends of' + possessive determiner + noun.,"He is a friend of my husband. (Japan; B1 THRESHOLD; 1999; Japanese; Pass)

I just thought they were friends of my neighbour who were going to visit him. (B1 THRESHOLD; 2007; Polish; Pass)"
665,NOUNS,noun phrases,B1,N/A,FORM: COMPLEX NOUN PHRASE WITH POSSESSIVE '‘S' + NOUN,Can form complex noun phrases with noun phrase + 'of' + noun phrase + possessive determiner ''s' + noun phrase.,"I ran to the street and I saw the window of my neighbour's car was broken. (B1 THRESHOLD; 2007; Portuguese; Pass)

The subject of my boss's talk will be IT skills. (Spain; B1 THRESHOLD; 2002; Spanish - European; Pass)

My friend Ronald had been chosen to play the role of James Bond's son! (Italy; B1 THRESHOLD; 2008; Italian; Pass)

My best friend is called Sindi and we met at my brother's birthday. She is the sister of my brother's girlfriend so he invited her as well. (Bulgaria; B1 THRESHOLD; 2010; Bulgarian; Pass)

The delivery date should be the day of my friend's birthday. (B1 THRESHOLD; 2003; Pass)"
666,NOUNS,noun phrases,B1,N/A,"FORM: NOUN PHRASE, NOUN PHRASE ","Can put two noun phrases together (in apposition) to refer to the same person or thing, usually separated by commas.","Mr Miller, the Sales Director, will visit us next Thursday. (Germany; B1 THRESHOLD; 2001; German; Pass)

Yesterday my boyfriend and I decided to go on a cycling holiday to visit some places in the country near Eboli, the town where we live. (Italy; B1 THRESHOLD; 2003; Italian; Pass)

She has come with me and two more friends, Peter and Gorha. (Spain; B1 THRESHOLD; 2003; Spanish - European; Pass)

I spoke with her and she looks really happy, although a little sad because her best friend, Alison, did not pass the exam. (Spain; B1 THRESHOLD; 2004; Spanish - European; Pass)

A new employee, Mary Watts, has just joined our company. (China; B1 THRESHOLD; 2002; Chinese; Pass)"
667,NOUNS,noun phrases,B1,N/A,FORM: INDEFINITE PRONOUNS,Can form noun phrases with an indefinite pronoun + adjective or clause.,"We see each other every day and do something different every day. (B1 THRESHOLD; 2004; ; Pass)

You could bring something to drink. (Uruguay; B1 THRESHOLD; 2009; Spanish - Latin American; Fail)

But then there is nothing special to eat. (Germany; B1 THRESHOLD; 2006; German; Pass)"
668,NOUNS,noun phrases,B1,N/A,FORM/USE: 'THE THING …',"Can use the noun phrase 'The thing' in front position, with a clause complement, to give focus to something. ","The thing I enjoyed most about it was a new computer game. (Georgia (Republic of); B1 THRESHOLD; 2007; Georgian; Pass)

The thing I prefer there is the swimming-pool, because I have met someone there. (France; B1 THRESHOLD; 2003; French; Pass)"
669,NOUNS,noun phrases,B2,N/A,FORM: NOUN + 'OF' + POSSESSIVE DETERMINER + NOUN,"Can form noun phrases with noun + 'of' + possessive determiner + noun + '‘s', particularly with 'friend' or 'friends'.","Actually, I know a great one and they can make a little discount for us because the owner is a friend of my father's. (Albania; B2 VANTAGE; 2009; Albanian; Pass)"
670,NOUNS,noun phrases,B2,N/A,FORM: POSSESSION WITH PLURAL NOUNS  + ',Can form noun phrases with plural nouns + ' + noun.,"He had promised that he would go to his grandparents' house this afternoon. (Greece; B2 VANTAGE; 2009; Greek; Pass)

Our company is a digital company with 15 years' experience. (China; B2 VANTAGE; 2008; Chinese; Pass)

It is essential to introduce special offers to get customers' attention. (India; B2 VANTAGE; 2009; Telugu; Fail)"
671,NOUNS,noun phrases,B2,N/A,FORM: POSTMODIFYING WITH ADJECTIVE PHRASE,Can form complex noun phrases by using adjective phrases as postmodifiers to give more information about the noun.,"Besides, we could leave one day in the morning and go by boat to a small and exotic island full of different and exotic species of birds that we could observe and photograph. (Turkey; B2 VANTAGE; 1993; Portuguese; Pass)

Emily Brönte succeeded in writing a romantic, psychological and tragic story, beautifully set in these mysterious moors. (Netherlands; B2 VANTAGE; 2001; Dutch; Pass)"
672,NOUNS,noun phrases,B2,N/A,FORM: COMPLEX NOUN PHRASES WITH ADJECTIVES COMBINED WITH 'BUT',Can form an increasing range of complex noun phrases with more than one adjective combined with 'but'.,"I am very lucky, because I was born in a small but beautiful city called Neuva Helvecia. (Uruguay; B2 VANTAGE; 2003; Spanish - Latin American; Pass)


As a result, in order to find out which is the most important, you need to ask yourself a simple but tricky question that no man would like to be asked. (Greece; B2 VANTAGE; 2008; Greek; Pass)

The smoke in the air had a strong but good smell. (Brazil; B2 VANTAGE; 1993; Portuguese; Pass)

I will be on business in London to sign a contract with a new but significant customer at that time. (China; B2 VANTAGE; 2002; Chinese; Pass)"
673,NOUNS,noun phrases,C1,N/A,FORM: NOUN PHRASE WITH POSSESSIVE 'S WITHOUT NOUN,"Can form complex noun phrases with noun phrase + 'of' + noun phrase + possessive determiner ''s', omitting the noun where it is previously mentioned. ","Our after-sales team now is perceived as faster, more qualified, friendlier and more efficient than our competitors’. (China; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2004; Chinese; Pass)

You cannot have peace and quiet in your own home, as your hour of peacefulness might considerably differ from your neighbours’. (Greece; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2007; Greek; Pass)

I think it would be better to include a student's view of the college, not only a teacher's. (Romania; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2002; Romanian; Pass)"
674,NOUNS,noun phrases,C1,N/A,"USE: NOMINALISATION, FORMALITY","Can use nominalised forms in academic or business contexts, to make something more formal. ","As indicated by the charts, the output in state-owned industry increased by 12% in 2000. (Poland; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2005; Polish; Pass)

With reference to foreign-invested industry, it recorded fluctuations in industrial output increases throughout three years. (Poland; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2005; Polish; Pass)

It stood at 14% in 2002, then dropped by 2% in 2001. 2002 brought a significant growth in the output and recorded 19%. (Poland; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2005; Polish; Pass)

We could say that things have been altered by the advances of science and culture in general, like the rest of the world. (Brazil; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 1993; Portuguese; Pass)"
675,NOUNS,noun phrases,C1,N/A,"FORM/USE: 'WH-' CLEFT, FOCUS","Can form complex noun phrases with 'wh-' cleft clauses, followed by 'be', to give focus. ","What everyone loved were the special effects and we were very impressed by the use of advanced technological innovations. (Greece; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2008; Greek; Pass)

What companies care about is money and football players help them to earn it. (Spain; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2005; Catalan; Pass)

What tourists want is to see the most typical things in England, not a hamburger restaurant. (Spain; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 1993; Spanish - European; Pass)

What students learn are mostly facts and theories. (Korea, South; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2001; Korean; Pass)"
676,NOUNS,noun phrases,C2,N/A,FORM: COMPLEX NOUN PHRASES WITH 'LITTLE OR NO'  + NOUN,Can form complex noun phrases with 'little or no' + noun.,"Harvey Keitel has always chosen the scripts that interested him as a person and as an actor, whilst refusing to invest his talent in big-time Hollywood block-busters with little or no artistic value. (Italy; C2 MASTERY; 1993; Italian; Pass)

They have little or no spare time to relax and recharge their batteries; they are constantly under pressure in order to live up to the expectations of the team and the supporters. (Greece; C2 MASTERY; 2009; Greek; Pass)

The careers of these people started at a very young age with little or no money. (Greece; C2 MASTERY; 2009; Greek; Pass)"
677,NOUNS,types,A1,1,FORM: COMMON NOUNS,Can use a limited range of common nouns.,"My house is in Ilford. (A1 BREAKTHROUGH; 2009; Tagalog; Pass)

In my free time I go shopping and I like swimming. (Poland; A1 BREAKTHROUGH; 2010; Polish; Pass)

My friend is called Jessica. (A1 BREAKTHROUGH; 2006; German; Pass)"
678,NOUNS,types,A1,N/A,FORM: PROPER NOUNS,"Can use proper nouns with a capital letter to refer to specific people, places, days and things. ","I want to see you on Saturday and Sunday. (A1 BREAKTHROUGH; 2009; Portuguese; Pass)

In Leicester I live in an area called Hamilton. (A1 BREAKTHROUGH; 2009; Gujarati; Pass)

This place is Gloscat College in Gloucester. (A1 BREAKTHROUGH; 2007; Tigrinya; Pass)

My friend is called Monika , she comes from Poland. (A1 BREAKTHROUGH; 2006; Polish; Pass)"
679,NOUNS,types,A1,N/A,FORM: COMPOUND NOUNS,"Can use a range of compound nouns, as one-word, two-word and hyphenated compounds, formed from verb + noun, noun + noun and adjective + noun combinations. ","She likes to go to the swimming pool and to the gym. (A1 BREAKTHROUGH; 2006; Ukrainian; Pass)

There are seven rooms: three bedrooms, a living room, a kitchen and there are two bathrooms. (A1 BREAKTHROUGH; 2009; Farsi; Pass)

My house is next to the bus stop. (A1 BREAKTHROUGH; 2009; Bengali; Pass)

My home is in Belfast, near the city centre. (A1 BREAKTHROUGH; 2009; Italian; Pass)

There's a supermarket and  a post office . (A1 BREAKTHROUGH; 2007; Polish; Pass)

He likes sports like ice-hockey and table tennis. (A1 BREAKTHROUGH; 2006; Singhalese; Pass)

I buy wines and ice-cream. (A1 BREAKTHROUGH; 2006; Others; Pass)"
680,NOUNS,types,A2,1,"FORM: '-ING' FORMS, OBJECT  ","Can use the '-ing' forms of verbs as nouns, in object position, to refer to activities. ","There we did a lot of things like swimming from the beach and going shopping. (Uruguay; A2 WAYSTAGE; 2009; Spanish - Latin American; Pass)

I prefer dancing, but on Saturday I'd like to go to a jazz concert. (Spain; A2 WAYSTAGE; 2003; Spanish - European; Pass)

I practised windsurfing and scuba diving. (Argentina; A2 WAYSTAGE; 2009; Spanish - Latin American; Pass)"
681,NOUNS,types,B1,2,FORM: COMMON NOUNS,Can use an increasing range of common nouns.,"When you're swimming you exercise all of your body. (2649025_2; PET; Cyprus; B1 THRESHOLD; 2009; Greek; Pass)

You just have to send me your design and I'll do the rest. (Peru; B1 THRESHOLD; 2006; Spanish - Latin American; Pass)

My heart was hurt and nobody will repair the damage. (Argentina; B1 THRESHOLD; 2004; Spanish - Latin American; Pass)
"
682,NOUNS,types,B2,2,"FORM'-ING' FORMS, SUBJECT",Can use the '-ing' form of verbs as nouns in subject position.,"Working until midnight every evening is not reasonable. Working late is not the solution and it is even dangerous. (France; B2 VANTAGE; 1993; French; Pass)

Also, think about stress. Driving in a city is stressful. (Germany; B2 VANTAGE; 1993; German; Pass)

First of all, Wicklow Mountains Centre is the perfect place for climbing. Climbing is our favourite hobby and, I think, we will have a good time. (Greece; B2 VANTAGE; 2007; Greek; Pass)

Many people say that they just don't have time for thinking about their health. Living in today's world demands spending a lot of time working. (Poland; B2 VANTAGE; 1999; Polish; Pass)"
683,NOUNS,types,C1,2,"FORM'-ING' FORMS, ABSTRACT NOUNS",Can use the '-ing' form of verbs as abstract nouns.,"Learning English has its rewards too. (Brazil; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 1993; Portuguese; Pass)

Advertising seems to be very important to promote a new product. (Switzerland; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2001; German; Pass)

Teaching is terribly challenging and demanding. (Russia; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2004; Russian; Pass)"
